RPPA;gene names;name;entrez_id;kegg_id;uniprot
1433EPSILON;1433E;YWHAE;7531;hsa:7531;P62258
4EBP1;4EBP1;EIF4EBP1;1978;hsa:1978;Q13541
4EBP1PS65;4EBP1;EIF4EBP1;1978;hsa:1978;Q13541
4EBP1PT37T46;4EBP1;EIF4EBP1;1978;hsa:1978;Q13541
53BP1;TP53BP;TP53BP1;7158;hsa:7158;Q12888
ACCPS79;ACACA;ACACA;31;hsa:31;Q13085
ACC1;ACACA;ACACA;31;hsa:31;Q13085
AKT;AKT1;AKT1;207;hsa:207;P31749
AKTPS473;AKT1;AKT1;207;hsa:207;P31749
AKTPT308;AKT1;AKT1;207;hsa:207;P31749
AMPKALPHA;PRKAA1;PRKAA1;5562;hsa:5562;Q13131
AMPKPT172;PRKAA1;PRKAA1;5562;hsa:5562;Q13131
AR;AR;AR;367;hsa:367;P10275
ATM;ATM;ATM;472;hsa:472;Q13315
BAK;BAK;BAK1;578;hsa:578;Q16611
BAX;BAX;BAX;581;hsa:581;Q07812
BCL2;BCL2;BCL2;596;hsa:596;P10415
BCLXL;BCL2L1;BCL2L1;598;hsa:598;Q07817
BECLIN;BECN1;BECN1;8678;hsa:8678;Q14457
BETACATENIN;CTNNB1;CTNNB1;1499;hsa:1499;P35222
BID;BID;BID;637;hsa:637;P55957
BIM;BCL2L11;BCL2L11;10018;hsa:10018;O43521
CJUNPS73;JUN;JUN;3725;hsa:3725;P05412
CKIT;KIT;KIT;3815;hsa:3815;P10721
CMETPY1235;MET;MET;4233;hsa:4233;P08581
CMYC;MYC;MYC;4609;hsa:4609;P01106
CRAF;RAF1;RAF1;5894;hsa:5894;P04049
CRAFPS338;RAF1;RAF1;5894;hsa:5894;P04049
CASPASE7CLEAVEDD198;CASP7;CASP7;840;hsa:840;P55210
CAVEOLIN1;CAV1;CAV1;857;hsa:857;Q03135
CD31;PECAM1;PECAM1;5175;hsa:5175;P16284
CD49B;ITGA2;ITGA2;3673;hsa:3673;P17301
CDK1;CDK1;CDC2;983;hsa:983;P06493
CHK1;CHK1;CHEK1;1111;hsa:1111;O14757
CHK1PS345;CHK1;CHEK1;1111;hsa:1111;O14757
CHK2;CHK2;CHEK2;11200;hsa:11200;O96017
CHK2PT68;CHK1;CHEK2;11200;hsa:11200;O96017
CIAP;BIRC2;BIRC2;329;hsa:329;Q13490
CLAUDIN7;CLDN7;CLDN7;1366;hsa:1366;O95471
COLLAGENVI;COL6A1;COL6A1;1291;hsa:1291;P12109
CYCLINB1;CCNB1;CCNB1;891;hsa:891;P14635
CYCLIND1;CCND1;CCND1;595;hsa:595;P24385
CYCLINE1;CCNE1;CCNE1;898;hsa:898;P24864
DJ1;PARK7;PARK7;11315;hsa:11315;Q99497
DVL3;DVL3;DVL3;1857;hsa:1857;Q92997
ECADHERIN;CDH1;CDH1;999;hsa:999;P12830
EEF2;EEF2;EEF2;1938;hsa:1938;P13639
EEF2K;EEF2K;EEF2K;29904;hsa:29904;O00418
EGFRPY1068;EGFR;EGFR;1956;hsa:1956;P00533
EGFRPY1173;EGFR;EGFR;1956;hsa:1956;P00533
EIF4E;EIF4E;EIF4E;1977;hsa:1977;P06730
ERALPHA;ESR1;ESR1;2099;hsa:2099;P03372
ERALPHAPS118;ESR1;ESR1;2099;hsa:2099;P03372
ERK2;MAPK1;MAPK1;5594;hsa:5594;P28482
FIBRONECTIN;FN1;FN1;2335;hsa:2335;P02751
FOXO3A;FOXO3;FOXO3;2309;hsa:2309;O43524
GAB2;GAB2;GAB2;9846;hsa:9846;Q9UQC2
GATA3;GATA3;GATA3;2625;hsa:2625;P23771
GSK3ALPHABETA;GSK3A;GSK3A;2931;hsa:2931;P49840
GSK3ALPHABETAPS21S9;GSK3A;GSK3A;2931;hsa:2931;P49840
HER2;ERBB2;ERBB2;2064;hsa:2064;P04626
HER2PY1248;ERBB2;ERBB2;2064;hsa:2064;P04626
HER3;ERBB2;ERBB3;2065;hsa:2065;P21860
HER3PY1298;ERBB2;ERBB3;2065;hsa:2065;P0DMV8
HSP70;HSPA1A;HSPA1A;3303;hsa:3304;P0DMV9
IGFBP2;IGFBP2;IGFBP2;3485;hsa:3485;P18065
INPP4B;INPP4B;INPP4B;8821;hsa:8821;O15327
IRS1;IRS1;IRS1;3667;hsa:3667;P35568
JNK2;MAPK9;MAPK9;5599;hsa:5599;P45983
KU80;XRCC5;XRCC5;7520;hsa:7520;P13010
LKB1;STK11;STK11;6794;hsa:6794;Q15831
LCK;LCK;LCK;3932;hsa:3932;P06239
MAPKPT202Y204;MAPK1;MAPK1;5594;hsa:5594;P28482
MEK1;MAP2K1;MAP2K1;5604;hsa:5604;Q02750
MEK1PS217S221;MAP2K1;MAP2K1;5604;hsa:5604;Q02750
MIG6;ERRFI1;ERRFI1;54206;hsa:54206;Q9UJM3
MRE11;MRE11;MRE11A;4361;hsa:4361;P49959
MTOR;MTOR;FRAP1;2475;hsa:2475;P42345
NCADHERIN;CDH2;CDH2;1000;hsa:1000;P19022
NFKBP65PS536;NFKB1;NFKB1;4790;hsa:4790;P19838
NF2;NF2;NF2;4771;hsa:4771;P35240
NOTCH1;NOTCH1;NOTCH1;4851;hsa:4851;P46531
PCADHERIN;CDH3;CDH3;1001;hsa:1001;P22223
P27;CDKN1B;CDKN1B;1027;hsa:1027;P46527
P27PT157;CDKN1B;CDKN1B;1027;hsa:1027;P46527
P38MAPK;MAPK14;MAPK14;1432;hsa:1432;Q16539
P38PT180Y182;MAPK14;MAPK14;1432;hsa:1432;Q16539
P53;P53;TP53;7157;hsa:7157;P04637
P70S6K;RPS6KB1;RPS6KB1;6198;hsa:6198;P23443
P70S6KPT389;RPS6KB1;RPS6KB1;6198;hsa:6198;P23443
P90RSKPT359S363;RPS6KA1;RPS6KA1;6195;hsa:6195;Q15418
PAXILLIN;PXN;PXN;5829;hsa:5829;P49023
PCNA;PCNA;PCNA;5111;hsa:5111;P12004
PDK1PS241;PDK1;PDK1;5163;hsa:5163;Q15118
PEA15;PEA15;PEA15;8682;hsa:8682;Q15121
PI3KP110ALPHA;PIK3CA;PIK3CA;5290;hsa:5290;P42336
PKCALPHA;PRKCA;PRKCA;5578;hsa:5578;P17252
PKCALPHAPS657;PRKCA;PRKCA;5578;hsa:5578;P17252
PKCDELTAPS664;PRKCD;PRKCD;5580;hsa:5580;Q05655
PR;PGR;PGR;5241;hsa:5241;P06401
PRAS40PT246;AKT1S1;AKT1S1;84335;hsa:84335;Q96B36
PTEN;PTEN;PTEN;5728;hsa:5728;P60484
RAD50;RAD50;RAD50;10111;hsa:10111;Q92878
RAD51;RAD51;RAD51;5888;hsa:5888;Q06609
RBPS807S811;RB1;RB1;5925;hsa:5925;P06400
S6;RPS6;RPS6;6194;hsa:6194;P62753
S6PS235S236;RPS6;RPS6;6194;hsa:6194;P62753
S6PS240S244;RPS6;RPS6;6194;hsa:6194;P62753
SHCPY317;SHC1;SHC1;6464;hsa:6464;P29353
SMAD1;SMAD1;SMAD1;4086;hsa:4086;Q15797
SMAD3;SMAD3;SMAD3;4088;hsa:4088;P84022
SMAD4;SMAD4;SMAD4;4089;hsa:4089;Q13485
SRC;SRC;SRC;6714;hsa:6714;P12931
SRCPY416;SRC;SRC;6714;hsa:6714;P12931
SRCPY527;SRC;SRC;6714;hsa:6714;P12931
STAT3PY705;STAT3;STAT3;6774;hsa:6774;P40763
STAT5ALPHA;STAT5A;STAT5A;6776;hsa:6776;P42229
STATHMIN;STMN1;STMN1;3925;hsa:3925;P16949
SYK;SYK;SYK;6850;hsa:6850;P43405
TUBERIN;TSC2;TSC2;7249;hsa:7249;P49815
VEGFR2;KDR;KDR;3791;hsa:3791;P35968
XRCC1;XRCC1;XRCC1;7515;hsa:7515;P18887
YAP;YAP1;YAP1;10413;hsa:10413;P46937
YAPPS127;YAP1;YAP1;10413;hsa:10413;P46937
YB1;YBX1;YBX1;4904;hsa:4904;P67809
YB1PS102;YBX1;YBX1;4904;hsa:4904;P67809
JNKPT183Y185;MAPK8;MAPK8;5599;hsa:5599;P45983
PAI1;PAI1;SERPINE1;5054;hsa:5054;P05121
MTORPS2448;MTOR;FRAP1;2475;hsa:2475;P42345
ASNS;ASNS;ASNS;440;hsa:440;P08243
EGFR;EGFR;EGFR;1956;hsa:1956;P00533